geo,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,pays_coordonnées_latitude,pays_coordonnées_longitude,pays_coordonnées_name (nom),iso3,status,color_code,name,continent,region,iso_3166_1,french_sho
SE,"11290.404 ","11244.099 ","11029.728 ",10799.075,11019.17,10971.244,10917.194,11013.378,10891.752,"11154.427 ","11120.715 ","11149.800 ",60.128161,18.643501,Suède,SWE,Member State,SWE,Sweden,Europe,Northern Europe,SE,Suède
SI,"1236.892 ","1207.414 ","1197.651 ",1231.213,1228.021,1242.337,1295.612,1319.176,1322.08,"1256.408 ","1294.263 ","1180.886 ",46.151241,14.995463,Slovénie,SVN,Member State,SVN,Slovenia,Europe,Southern Europe,SI,Slovénie
SK,"3255.331 ","3233.817 ","3114.817 ",3241.628,3333.371,3308.576,3452.442,3662.539,3463.68,"3138.177 ","3382.392 ","3167.959 ",48.669026,19.699024,Slovaquie,SVK,Member State,SVK,Slovakia,Europe,Eastern Europe,SK,Slovaquie
UA,"25810.737 ","23981.954 ","21841.758 ",20568.374,16377.631,15512.409,15094.859,16416.222,16126.577,"15979.570 ",: ,: ,48.379433,31.16558,Ukraine,UKR,Member State,UKR,Ukraine,Europe,Eastern Europe,UA,Ukraine
XK,"307.986 ","273.752 ","262.900 ",245.253,307.181,281.257,313.24,281.795,299.97,"302.386 ","328.236 ","298.264 ",42.602636,20.902977,Kosovo,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
AL,"163.473 ","157.272 ","190.984 ",179.239,196.853,179.284,213.604,215.22,228.317,"194.243 ","218.788 ","215.183 ",41.153332,20.168331,Albanie,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
AT,"2555.046 ","2553.096 ","2551.659 ",2423.488,2478.518,2425.01,2638.262,2579.022,2637.368,"2429.222 ","2602.655 ","2522.643 ",47.516231,14.550072,Autriche,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
BA,: ,: ,: ,163.649,357.703,435.411,355.631,348.522,407.073,"377.628 ","386.339 ","408.693 ",43.915886,17.679076,Bosnie-Herzégovine,BIH,Member State,BIH,Bosnia & Herzegovina,Europe,Southern Europe,BA,Bosnie-Herzégovine
BE,"4409.540 ","4623.398 ","4909.613 ",4251.465,4618.204,4646.705,4634.866,4656.113,4599.421,"4403.378 ","4543.449 ","3988.677 ",50.503887,4.469936,Belgique,BEL,Member State,BEL,Belgium,Europe,Western Europe,BE,Belgique
BG,"1089.740 ","1069.698 ","1029.822 ",992.002,1078.658,1157.041,1167.156,1231.216,1268.032,"1066.112 ","1299.854 ","1343.362 ",42.733883,25.48583,Bulgarie,BGR,Member State,BGR,Bulgaria,Europe,Eastern Europe,BG,Bulgarie
CZ,"3132.559 ","3039.527 ","3010.066 ",2922.578,2977.367,3091.444,3180.772,3127.767,3191.895,"2987.130 ","2966.844 ","2894.197 ",49.817492,15.472962,République tchèque,CZE,Member State,CZE,Czech Republic,Europe,Eastern Europe,CZ,République tchèque
DE,"30735.597 ","32027.815 ","33549.528 ",30766.034,32289.872,31865.517,31837.801,28892.812,27533.764,"26842.069 ","30013.224 ","25459.838 ",51.165691,10.451526,Allemagne,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
