country,lat,long
FR,48.8582,2.3387
DE,50.9475,6.9288
DO,19.4857,-70.7362
PT,38.7905,-9.1859
ID,-6.2114,106.8446
SG,1.385,103.7473
IT,45.4722,9.1922
CZ,50.0985,14.4524
DE,51.2993,9.491
CH,47.4597,9.0491
US,28.5531,-81.7597
SE,59.3779,17.9155
CA,43.6319,-79.3716
ZA,-33.9258,18.4259
RO,44.5638,27.3604
CA,44.2507,-76.946
US,40.5511,-74.4606
FR,48.8582,2.3387
US,33.0176,-96.9926
CA,49.1049,-122.824
NL,52.352,4.9392
DE,50.0301,8.8812
SG,1.2872,103.8507
DE,49.4423,11.0191
IL,32.0666,34.7652
NL,52.3824,4.8995
CL,-33.4521,-70.6536
KR,36.6387,127.4702
RU,55.7386,37.6068
US,31.0685,-97.3918
US,41.2591,-95.8517
FI,61.0636,28.189
CA,43.6319,-79.3716
RU,55.7386,37.6068
KR,37.5658,126.978
CA,45.3161,-73.8736
US,47.3066,-122.2619
US,40.7592,-111.8875
IN,19.0748,72.8856
US,45.8401,-119.705
FI,60.1719,24.9347
DE,50.3908,8.0641
ID,-6.2114,106.8446
DE,49.7894,9.9262
CH,47.2039,7.5337
US,42.8864,-78.8784
US,40.8414,-96.6541
RU,59.9417,30.3096
DE,48.1651,11.5578
TH,13.859,100.4772
US,39.1244,-76.495
SE,59.3274,18.0653
IT,45.4722,9.1922
US,36.0683,-119.0343
US,27.935,-82.3772
DE,51.2993,9.491
KR,35.2342,128.8777
CN,34.7599,113.6459
KR,35.1496,126.9156
AT,48.1951,16.3483
CA,45.4434,-73.4121
MX,19.481,-99.1869
GB,51.5081,-0.1278
RU,55.7386,37.6068
US,38.894,-77.0365
DE,50.4777,12.3649
US,45.8401,-119.705
SG,1.314,103.6839
US,42.5403,-83.379
US,43.6502,-116.4343
FR,48.9742,8.1851
TH,13.7618,100.5324
AU,-27.4683,153.0322
AT,48.3482,13.7734
AT,47.8044,16.2489
FR,48.8582,2.3387
US,47.3066,-122.2619
DE,50.4777,12.3649
FI,60.1719,24.9347
CZ,50.6873,14.5429
CA,43.6319,-79.3716
NL,51.9076,4.4484
US,38.6877,-77.8369
IL,32.0876,34.8739
FR,48.8582,2.3387
AU,-33.7014,151.0966
US,32.9321,-97.2834
US,39.0469,-77.4903
US,32.8608,-79.9746
DE,53.0552,8.7455
DE,48.7087,9.4153
FI,60.1719,24.9347
US,39.9625,-83.0061
US,37.5467,-97.2795
FR,48.8582,2.3387
FR,48.6758,2.3097
DE,50.4777,12.3649
FI,60.1719,24.9347
US,37.7836,-122.4353
US,32.8372,-96.769
DE,50.4777,12.3649
KR,37.5658,126.978
DE,51.1864,6.8624
FI,60.1719,24.9347
TH,7.95,98.3564
CA,45.5075,-73.5887
NL,52.3824,4.8995
BR,-23.5475,-46.6361
US,39.0469,-77.4903
DE,51.1864,6.8624
DE,49.4527,11.0783
CH,46.9411,7.3856
DE,51.0015,6.7958
DE,49.4527,11.0783
FR,47.1567,2.3923
IT,45.5431,11.5415
CA,43.6319,-79.3716
US,39.018,-77.539
DE,51.2993,9.491
US,41.2591,-95.8517
DE,48.5309,12.1559
GB,51.4964,-0.1224
US,39.0469,-77.4903
FI,60.1719,24.9347
CA,53.4563,-113.5803
NL,52.3824,4.8995
US,34.6224,-98.3913
NL,52.352,4.9392
US,33.8697,-118.3693
BR,-23.6301,-46.6378
US,42.3574,-71.0618
AU,-33.8601,151.2101
CA,51.0207,-114.1011
CA,43.6547,-79.3623
US,38.6364,-90.1985
ES,41.5705,2.0156
US,41.2591,-95.8517
GB,51.5538,-0.3102
FR,48.8582,2.3387
FI,60.1719,24.9347
DE,50.4777,12.3649
NL,51.4917,5.8995
DE,50.4777,12.3649
FR,48.8582,2.3387
PL,52.3869,16.916
DE,50.1169,8.6837
US,29.1384,-81.0278
IN,18.5211,73.8502
US,32.749,-96.4629
JP,35.6893,139.6899
DE,50.4777,12.3649
NZ,-36.8322,174.7898
CZ,50.0055,15.9569
US,33.0273,-80.1768
NL,52.3891,4.6563
AU,-33.8715,151.2006
CA,45.2722,-75.7522
CA,45.3161,-73.8736
EE,59.4381,24.7369
US,42.6002,-83.0033
US,40.5511,-74.4606
US,41.6072,-109.228
FI,60.1617,24.9181
AR,-36.0,-59.9964
NL,52.0862,5.0795
SG,1.2872,103.8507
DE,51.0485,7.0092
CH,47.3957,8.7799
US,45.0228,-93.3012
RO,46.7656,23.5945
DE,52.3959,13.4024
FI,60.1719,24.9347
DE,50.3142,10.2041
FI,60.1719,24.9347
FR,48.8582,2.3387
CA,43.6319,-79.3716
FI,60.1719,24.9347
FR,48.8582,2.3387
DE,49.4527,11.0783
DE,50.4777,12.3649
PT,38.6962,-9.4186
DE,50.1169,8.6837
LT,54.7065,25.3074
US,39.9625,-83.0061
DE,49.4423,11.0191
US,33.5631,-117.2738
SI,46.0503,14.5046
FR,48.8582,2.3387
DE,50.4777,12.3649
FI,60.1719,24.9347
DE,50.4777,12.3649
US,61.2049,-149.8096
DE,50.4777,12.3649
DE,50.4777,12.3649
SG,1.2872,103.8507
HK,22.2578,114.1657
US,37.3419,-121.9754
FI,60.1719,24.9347
GB,51.5773,-0.3278
CZ,49.5795,17.9609
FR,48.7336,2.3294
IE,54.1827,-8.4979
FR,48.7184,2.5406
US,47.5364,-122.278
US,43.6138,-116.3972
US,32.961,-96.9841
ES,40.5579,-4.0142
US,33.7074,-117.7054
DE,49.4527,11.0783
RU,56.3327,44.0012
US,33.4656,-111.9956
US,41.2591,-95.8517
SG,1.314,103.6839
FI,60.1719,24.9347
DE,50.1169,8.6837
NL,52.3824,4.8995
NL,52.3824,4.8995
BR,-21.7887,-46.529
DE,49.2481,6.9979
US,34.0544,-118.244
DE,50.1169,8.6837
DE,50.4777,12.3649
FR,48.8582,2.3387
FR,48.8582,2.3387
DE,50.4777,12.3649
NZ,-41.2881,174.74
AT,48.2048,16.3801
FR,48.8582,2.3387
DE,49.2229,8.3698
RU,55.7487,37.6187
US,39.0469,-77.4903
US,37.751,-97.822
DE,51.8434,6.8614
US,42.4947,-70.8499
AU,-37.8159,144.9669
CZ,50.1113,14.4063
FR,48.8582,2.3387
IE,53.3382,-6.2591
LT,54.6876,25.2806
US,37.751,-97.822
FR,48.8582,2.3387
PT,38.7521,-9.2279
DE,50.1169,8.6837
FI,60.1719,24.9347
DE,51.1864,6.8624
US,45.5397,-122.9638
DE,49.2094,7.0217
JP,34.693,135.5005
CA,49.6861,-124.9286
RU,55.7386,37.6068
FI,60.1719,24.9347
JP,35.6164,139.7425
HK,22.2578,114.1657
DE,50.4777,12.3649
CA,43.6319,-79.3716
US,40.7041,-73.6184
RU,55.7386,37.6068
FR,48.9742,8.1851
US,29.9495,-90.1204
US,39.0469,-77.4903
LT,55.4167,24.0
CZ,48.9208,14.4649
DE,51.3688,12.3311
US,37.751,-97.822
FR,48.8582,2.3387
CZ,50.4368,14.9358
IE,53.3382,-6.2591
AU,-33.8715,151.2006
AT,48.1341,15.2803
US,28.5464,-81.2585
US,37.751,-97.822
FR,48.8582,2.3387
IT,40.9066,14.3436
US,41.2591,-95.8517
CA,45.5527,-73.1755
FR,48.8582,2.3387
FR,48.8582,2.3387
US,32.7889,-96.8021
FR,48.9999,2.2821
FI,60.1719,24.9347
CA,48.416,-68.5979
US,39.9625,-83.0061
JP,35.6893,139.6899
RU,55.1553,61.4313
CA,45.5075,-73.5887
KR,37.6039,126.9421
FI,61.0636,28.189
US,34.0544,-118.244
DE,49.4527,11.0783
FR,48.8582,2.3387
DE,51.2993,9.491
PL,52.2299,21.0093
CZ,50.0883,14.4124
US,41.7323,-88.1282
BE,50.8534,4.347
DE,51.5677,14.3794
DE,51.2993,9.491
US,39.5816,-104.9563
US,42.2904,-71.0712
FR,48.8582,2.3387
US,47.8022,-122.286
FR,48.8582,2.3387
DE,51.2993,9.491
UY,-34.9064,-56.1629
NL,51.5834,4.9884
FI,60.1719,24.9347
CZ,50.0687,14.3947
NL,52.5275,5.7271
DE,50.4777,12.3649
US,40.6269,-122.354
FR,48.8582,2.3387
US,40.7876,-74.06
PL,52.2394,21.0362
US,34.0544,-118.244
SG,1.3665,103.9681
US,28.9284,-82.4921
CA,49.1049,-122.824
SE,59.3274,18.0653
US,34.0609,-118.2414
SG,1.3552,103.8859
US,25.7701,-80.1928
DK,55.2252,11.7549
MX,27.4771,-99.6203
DE,50.4777,12.3649
FI,60.1719,24.9347
FR,48.8558,2.3494
AU,-27.4483,153.0816
FR,48.179,-1.6425
FI,60.1719,24.9347
US,37.2941,-121.8996
NZ,-36.8322,174.7898
NL,52.2197,5.1654
PL,52.2394,21.0362
GB,54.801,-1.4
PT,38.6661,-9.0759
NL,52.1232,5.2109
US,42.428,-71.0618
US,34.6293,-78.6053
US,37.751,-97.822
DE,50.4777,12.3649
FI,60.1719,24.9347
DE,50.4777,12.3649
DE,50.4777,12.3649
DE,50.0327,10.5136
DE,50.1093,8.7321
CA,43.6319,-79.3716
BG,42.6826,23.3223
ES,41.3774,2.141
RU,55.7386,37.6068
CZ,49.2295,17.6658
RU,55.7386,37.6068
UA,50.458,30.5303
US,39.9625,-83.0061
GB,51.5088,-0.093
SG,1.2872,103.8507
US,41.6073,-93.5308
US,39.8983,-86.0115
US,40.7428,-73.9712
KR,35.2619,128.867
FR,48.8582,2.3387
