country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,estimated_,iso3,status,color_code,name_2,continent,region,iso_3166_1,french_sho
DEU,Germany,D�bern Solar Power Plant,WRI1030119,6.300000000000000,51.612600000000000,14.616899999999999,Solar,,,,,,SYBAC Solar GmbH,http://www.sybac-solar.de,Industry About,,,,,,,,58.349593099639307,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,D�llstadt Solar Power Plant,WRI1030261,6.100000000000000,49.791200000000003,10.259900000000000,Solar,,,,,,Belectric,http://www.belectric.com,Industry About,,,,,,,,56.497225064730117,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,D�lzig Solar Power Plant,WRI1030168,3.900000000000000,51.350800000000000,12.200100000000001,Solar,,,,,,Enerparc AG,http://www.enerparc.de,Industry About,,,,,,,,36.121176680729093,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,D�rrr�hrsdorf Solar Power Plant,WRI1030186,1.900000000000000,51.027700000000003,14.010800000000000,Solar,,,,,,Enerparc AG,http://www.enerparc.de,Industry About,,,,,,,,17.597496331637252,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EBKW Knapsack,WRI1005643,33.399999999999999,50.857700000000001,6.850200000000000,Waste,,,,2008.000000000000000,EBS - Kraftwerks GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1067266",,,,,,,283.862160120845942,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EBS-HKW Rostock,WRI1005645,17.000000000000000,54.144599999999997,12.141200000000000,Waste,,,,2009.000000000000000,Vattenfall Europe New Energy Ecopower GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1068241",,,,,,,144.480740181268885,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EBS-Heizkraftwerk,WRI1005644,23.500000000000000,52.168799999999997,14.640800000000000,Other,,,,2011.000000000000000,EnBW Propower GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,62.809486061566915,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EEV,WRI1005647,38.000000000000000,53.485199999999999,9.969600000000000,Oil,,,,1993.000000000000000,Shell Deutschland Oil GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,75.421576879910219,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EEW Energy from Waste Hannover GmbH,WRI1005648,22.500000000000000,52.411799999999999,9.853000000000000,Waste,,,,2005.000000000000000,EEW Energy from Waste Hannover GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1055474",,,,,,,191.224509063444117,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EEW Großräschen,WRI1005650,23.300000000000001,51.592900000000000,14.024100000000001,Waste,,,,2008.000000000000000,EEW Energy from Waste Großräschen GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,198.023602719033249,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EEW Göppingen,WRI1005649,11.000000000000000,48.682299999999998,9.671300000000000,Waste,,,,2009.000000000000000,EEW Energy from Waste Göppingen GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,93.487537764350449,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EMSLAND,WRI1005659,1406.000000000000000,52.471600000000002,7.320400000000000,Nuclear,,,,1988.000000000000000,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryStatisticsLandingPage.aspx,GEODB,,,,,,10285.639999999999418,,12224.811923731089337,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,ENERTRAG Netz GmbH (UW Bertikow),WRI1005665,20.000000000000000,53.265599999999999,13.949999999999999,Biomass,,,,2003.000000000000000,ENERTRAG Aktiengesellschaft,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,523.711713888721192,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
